id,dest_year,origin_fips,dest_fips,returns,exempt,agi
839,1996,39,5,2,5,39
840,1996,39,7,2,5,39
841,1996,39,9,2,5,39
842,1996,39,11,2,5,39
843,1996,39,13,2,5,39
844,1996,39,15,2,5,39
845,1996,39,17,2,5,39
846,1996,39,19,2,5,39
847,1996,39,21,2,5,39
848,1996,39,23,2,5,39
849,1996,39,25,2,5,39
850,1996,39,27,34,67,768
851,1996,39,29,2,5,39
852,1996,39,31,2,5,39
853,1996,39,33,2,5,39
854,1996,39,35,2,5,39
855,1996,39,37,2,5,39
856,1996,39,39,6809,17465,199909
857,1996,39,41,2,5,39
858,1996,39,43,2,5,39
859,1996,39,45,2,5,39
860,1996,39,47,2,5,39
861,1996,39,49,2,5,39
862,1996,39,51,2,5,39
863,1996,39,53,2,5,39
864,1996,39,55,2,5,39
865,1996,39,57,2,5,39
866,1996,39,59,2,5,39
867,1996,39,61,2,5,39
868,1996,39,63,2,5,39
869,1996,39,65,2,5,39
870,1996,39,67,2,5,39
871,1996,39,69,2,5,39
872,1996,39,71,2,5,39
873,1996,39,73,19,54,327
874,1996,39,75,2,5,39
875,1996,39,77,2,5,39
876,1996,39,79,2,5,39
877,1996,39,81,2,5,39
878,1996,39,83,20,37,388
879,1996,39,85,2,5,39
880,1996,39,87,2,5,39
881,1996,41,1,1,3,26
882,1996,41,3,1,3,26
883,1996,41,5,1,3,26
884,1996,41,7,1,3,26
885,1996,41,9,1,3,26
886,1996,41,11,1,3,26
887,1996,41,13,1,3,26
888,1996,41,15,1,3,26
889,1996,41,17,1,3,26
890,1996,41,19,1,3,26
891,1996,41,21,1,3,26
892,1996,41,23,1,3,26
893,1996,41,25,1,3,26
894,1996,41,27,1,3,26
895,1996,41,29,1,3,26
896,1996,41,31,1,3,26
897,1996,41,33,1,3,26
898,1996,41,35,1,3,26
899,1996,41,37,1,3,26
900,1996,41,39,1,3,26
901,1996,41,41,2738,8581,77008
902,1996,41,43,1,3,26
903,1996,41,45,1,3,26
904,1996,41,47,1,3,26
905,1996,41,49,1,3,26
906,1996,41,51,1,3,26
907,1996,41,53,1,3,26
908,1996,41,55,1,3,26
909,1996,41,57,1,3,26
910,1996,41,59,1,3,26
911,1996,41,61,1,3,26
912,1996,41,63,1,3,26
913,1996,41,65,1,3,26
914,1996,41,67,1,3,26
915,1996,41,69,1,3,26
