id,year,countyfips,type,out_returns,out_exempt,out_agi,in_returns,in_exempt,in_agi
391,1999,85,same_state,248,498,6532,171,338,5823
392,1999,85,diff_state,143,264,2979,165,291,6850
393,1999,87,same_state,159,339,3182,121,270,3377
394,1999,87,diff_state,120,259,2593,129,289,3539
395,2000,1,same_state,3067,6346,99117,3345,6223,102010
396,2000,1,diff_state,4275,8148,181014,5774,11899,272110
397,2000,1,foreign,87,205,3902,103,194,3393
398,2000,3,same_state,89,169,1923,63,134,1933
399,2000,3,diff_state,36,70,836,46,79,1878
400,2000,5,same_state,930,2094,28845,910,1845,21238
401,2000,5,diff_state,1211,2576,36081,962,2042,30128
402,2000,5,foreign,21,42,427,30,31,155
403,2000,7,same_state,53,133,1354,38,93,941
404,2000,7,diff_state,87,168,2303,95,216,3127
405,2000,9,same_state,117,239,2735,91,180,2350
406,2000,9,diff_state,113,215,2870,141,329,4018
407,2000,11,same_state,704,1542,17308,555,1411,16433
408,2000,11,diff_state,428,971,11776,332,811,11173
409,2000,13,same_state,221,412,7849,190,367,9603
410,2000,13,diff_state,408,603,20053,508,830,42429
411,2000,13,foreign,11,18,255,17,18,310
412,2000,15,same_state,161,354,5507,223,480,7554
413,2000,15,diff_state,70,148,3528,108,242,4723
414,2000,17,same_state,297,585,10719,244,538,6258
415,2000,17,diff_state,671,1258,19923,852,1840,33475
416,2000,19,same_state,952,2238,27423,971,2247,28771
417,2000,19,diff_state,1131,2548,44374,1140,2804,54717
418,2000,19,foreign,13,16,356,0,0,0
419,2000,21,same_state,79,146,1954,76,167,1632
420,2000,21,diff_state,152,320,3906,181,423,4920
421,2000,23,same_state,49,116,3453,48,110,1295
422,2000,23,diff_state,33,63,573,32,69,1061
423,2000,25,same_state,24,59,737,0,0,0
424,2000,25,diff_state,13,23,-189,0,0,0
425,2000,27,same_state,1585,3193,47582,2447,5412,74073
426,2000,27,diff_state,1212,2689,31172,1760,4025,58459
427,2000,27,foreign,15,33,274,21,39,544
428,2000,29,same_state,99,215,2258,67,135,1897
429,2000,29,diff_state,94,187,3187,98,241,3027
430,2000,31,same_state,475,1100,10537,348,837,8754
431,2000,31,diff_state,284,636,7010,203,489,5106
432,2000,33,same_state,20,49,578,0,0,0
433,2000,33,diff_state,11,27,293,0,0,0
434,2000,35,same_state,161,296,4053,93,185,2476
435,2000,35,diff_state,129,289,4174,128,282,3288
436,2000,37,same_state,106,214,2413,74,149,2204
437,2000,37,diff_state,62,111,1640,84,174,3131
438,2000,39,same_state,345,676,8780,238,493,5318
439,2000,39,diff_state,855,2189,25769,883,1791,23507
440,2000,39,foreign,214,508,5522,238,575,6099
441,2000,41,same_state,56,155,1476,56,146,1530
442,2000,41,diff_state,219,472,5686,174,486,5924
443,2000,43,same_state,228,533,4918,172,445,5036
444,2000,43,diff_state,195,422,4083,130,296,3788
445,2000,45,same_state,302,629,7680,282,625,9225
446,2000,45,diff_state,149,331,3795,173,424,5611
447,2000,47,same_state,251,556,5654,235,512,6684
448,2000,47,diff_state,142,287,2371,161,359,4791
449,2000,49,same_state,197,395,5002,140,264,2998
450,2000,49,diff_state,184,380,4812,203,444,7622
451,2000,51,same_state,360,849,10609,341,865,9331
452,2000,51,diff_state,215,473,5262,162,433,5963
453,2000,53,same_state,429,949,10685,414,967,9779
454,2000,53,diff_state,188,432,4232,202,513,5477
455,2000,55,same_state,575,1158,13998,749,1528,19993
456,2000,55,diff_state,2021,3857,67330,2651,5494,98285
457,2000,55,foreign,22,29,636,22,35,696
458,2000,57,same_state,487,930,12149,475,796,9676
459,2000,57,diff_state,997,1821,28303,738,1338,20913
460,2000,57,foreign,17,27,181,125,154,547
461,2000,59,same_state,72,141,1493,55,111,1567
462,2000,59,diff_state,164,359,5275,114,241,3905
463,2000,61,same_state,77,141,1659,62,112,1587
464,2000,61,diff_state,44,72,1015,48,93,1486
465,2000,63,same_state,92,235,2503,107,284,3938
466,2000,63,diff_state,47,113,950,42,94,857
467,2000,65,same_state,317,801,8108,251,651,5944
468,2000,65,diff_state,383,790,7714,253,553,6183
469,2000,65,foreign,0,0,0,49,49,73
470,2000,67,same_state,346,829,8446,256,596,5264
471,2000,67,diff_state,174,426,4446,112,254,2256
472,2000,69,same_state,344,630,9737,384,708,9979
473,2000,69,diff_state,774,1480,21353,614,1230,16384
474,2000,69,foreign,11,17,210,17,19,101
475,2000,71,same_state,26,63,628,14,32,307
476,2000,71,diff_state,72,148,1817,75,173,2179
477,2000,73,same_state,243,564,5857,242,617,6069
478,2000,73,diff_state,120,295,2455,123,314,3718
479,2000,75,same_state,265,524,6280,222,483,6239
480,2000,75,diff_state,309,726,8258,380,916,12149
481,2000,77,same_state,130,294,2928,90,222,2054
482,2000,77,diff_state,63,167,1304,36,99,941
483,2000,79,same_state,197,403,4938,116,257,2497
484,2000,79,diff_state,192,387,4809,214,482,6438
485,2000,79,foreign,10,11,218,0,0,0
486,2000,81,same_state,54,109,1596,58,135,1380
487,2000,81,diff_state,129,226,4836,244,441,20960
488,2000,83,same_state,941,2021,24947,814,1765,20308
489,2000,83,diff_state,885,1850,27044,777,1716,25747
490,2000,83,foreign,0,0,0,11,21,266
491,2000,85,same_state,213,403,7185,187,360,6571
492,2000,85,diff_state,152,280,4585,163,298,7237
493,2000,87,same_state,142,326,3241,103,246,3045
494,2000,87,diff_state,138,301,3079,138,324,4252
495,2001,1,same_state,2954,6181,106019,3605,6551,113582
496,2001,1,diff_state,4499,8573,223245,5929,12276,344996
497,2001,1,foreign,81,154,4311,95,161,2634
498,2001,3,same_state,77,167,1834,71,144,2071
499,2001,3,diff_state,48,93,1371,47,101,1371
500,2001,5,same_state,915,2006,25310,944,1965,22684
501,2001,5,diff_state,1258,2624,42840,1008,2182,34472
502,2001,5,foreign,0,0,0,35,36,398
503,2001,7,same_state,64,149,1270,30,79,830
504,2001,7,diff_state,88,189,2377,94,240,3568
505,2001,9,same_state,149,296,3351,89,206,2735
506,2001,9,diff_state,145,334,5472,116,240,3798
507,2001,11,same_state,650,1401,16860,542,1321,14895
508,2001,11,diff_state,412,893,10856,356,879,10579
509,2001,11,foreign,10,14,152,0,0,0
510,2001,13,same_state,221,415,10873,243,453,8167
511,2001,13,diff_state,407,657,24353,529,891,54014
512,2001,13,foreign,11,14,183,28,30,138
513,2001,15,same_state,180,363,6420,182,387,8076
514,2001,15,diff_state,67,127,2243,106,214,4484
515,2001,17,same_state,307,627,7685,306,583,7984
516,2001,17,diff_state,682,1294,30303,786,1561,37118
517,2001,17,foreign,13,17,211,0,0,0
518,2001,19,same_state,955,2114,29764,934,2151,26784
519,2001,19,diff_state,1144,2477,42265,1051,2417,42991
520,2001,19,foreign,20,33,324,11,20,463
521,2001,21,same_state,93,186,2322,51,99,1397
522,2001,21,diff_state,159,333,4216,159,368,4476
523,2001,23,same_state,67,146,1560,38,80,1471
524,2001,23,diff_state,19,46,738,25,56,693
525,2001,25,same_state,0,0,0,0,0,0
526,2001,25,diff_state,0,0,0,0,0,0
527,2001,27,same_state,1701,3426,55076,2359,5228,75487
528,2001,27,diff_state,1316,2896,41595,1858,4442,66042
529,2001,27,foreign,26,42,568,15,33,372
530,2001,29,same_state,96,206,3028,63,163,1979
531,2001,29,diff_state,88,177,2971,103,260,3728
532,2001,31,same_state,431,972,10621,368,935,8298
533,2001,31,diff_state,293,626,17199,221,545,6114
534,2001,33,same_state,0,0,0,0,0,0
535,2001,33,diff_state,0,0,0,0,0,0
536,2001,35,same_state,185,379,5795,99,189,2493
